neuron,gene_name,gene_id
ADE,flp-33,WBGene00011586
ADF,srh-142,WBGene00005359
ADL,svh-1,WBGene00006620
ADL,T09B9.3,WBGene00011644
ADL,C18H7.6,WBGene00015996
AFD,gcy-8,WBGene00001535
AIA,gcy-28,WBGene00020131
AIM,nlp-70,WBGene00044513
AIY,ttx-3,WBGene00006654
ALN,C50F7.5,WBGene00016845
AQR,gcy-32,WBGene00001552
ASEL,gcy-6,WBGene00001533
ASEL,gcy-7,WBGene00001534
ASER,gcy-4,WBGene00001531
ASER,gcy-5,WBGene00001532
ASG,gcy-15,WBGene00001541
ASI,str-3,WBGene00006071
ASJ,sptf-1,WBGene00009743
ASJ,ssu-1,WBGene00013748
ASJ,trx-1,WBGene00015062
ASK,sra-7,WBGene00005033
ASK,sra-9,WBGene00005035
ASK,srg-2,WBGene00005160
ASK,srg-8,WBGene00005166
ASK,srbc-64,WBGene00021477
ASK,srbc-66,WBGene00020746
AVJ,hlh-34,WBGene00011327
AVK,flp-1,WBGene00001444
AVK,twk-47,WBGene00018002
AWA,odr-10,WBGene00003856
AWB,srab-16,WBGene00020060
AWB,sru-38,WBGene00005701
AWB,str-44,WBGene00006109
AWB,str-163,WBGene00006208
AWC_OFF,srsx-3,WBGene00022408
AWC_OFF,srt-26,WBGene00016047
AWC_OFF,srt-28,WBGene00016049
AWC_ON,str-2,WBGene00006070
AWC_ON,srt-45,WBGene00010929
AWC_ON,srt-47,WBGene00012770
BAG,gcy-9,WBGene00001536
BAG,flp-17,WBGene00001460
CAN,pks-1,WBGene00016558
CEP,flp-33,WBGene00011586
DD,ttr-39,WBGene00007304
DVA,twk-16,WBGene00006670
DVC,ceh-63,WBGene00045215
FLP,Y48G10A.6,WBGene00013023
FLP,deg-3,WBGene00000951
FLP,des-2,WBGene00000955
FLP,F49H12.4,WBGene00018655
FLP,dma-1,WBGene00011345
IL1,aqp-6,WBGene00000174
IL1,aakg-1,WBGene00013732
IL1,flp-3,WBGene00001446
IL2,klp-6,WBGene00002218
IL2LR,C18F10.2,WBGene00015977
OLQ,ocr-4,WBGene00003841
OLQ,ttll-9,WBGene00044187
PHA,srg-13,WBGene00005170
PHA,gcy-17,WBGene00001542
PLN,C50F7.5,WBGene00016845
PQR,gcy-32,WBGene00001552
PVD,deg-3,WBGene00000951
PVD,des-2,WBGene00000955
PVD,F49H12.4,WBGene00018655
PVD,dma-1,WBGene00011345
PVP,ocr-3,WBGene00003840
PVQ,nlp-17,WBGene00003755
PVT,zig-2,WBGene00006979
RIA,glr-3,WBGene00001614
RIA,glr-6,WBGene00001617
RIC,tbh-1,WBGene00006541
RIM,gcy-13,WBGene00001539
RIM,cex-1,WBGene00023407
RIS,srsx-18,WBGene00015419
RIS,flp-11,WBGene00001454
RMD,C42D4.1,WBGene00016594
RMG,nlp-56,WBGene00013334
RMH,sem-2,WBGene00004771
SAA,rig-5,WBGene00004372
URX,gcy-32,WBGene00001552
